label,score
positive,0.8644164800643921
positive,0.7426020503044128
positive,0.8348447680473328
positive,0.9720906615257263
positive,0.4900919497013092
neutral,0.5232073068618774
positive,0.6963496208190918
positive,0.8115212321281433
positive,0.44098716974258423
positive,0.9268824458122253
positive,0.9690991044044495
positive,0.9598067402839661
neutral,0.627350389957428
positive,0.9228869080543518
neutral,0.4961644113063812
positive,0.8767924308776855
neutral,0.41003674268722534
neutral,0.4501832127571106
positive,0.9903928637504578
positive,0.9818587899208069
positive,0.9488404989242554
negative,0.9932490587234497
positive,0.4861917197704315
neutral,0.525733232498169
neutral,0.5084455013275146
positive,0.9551560282707214
positive,0.6900368332862854
positive,0.9294541478157043
neutral,0.44976142048835754
positive,0.9381304979324341
negative,0.6621074676513672
neutral,0.5754944682121277
positive,0.9333194494247437
positive,0.9912444353103638
negative,0.9885361194610596
positive,0.9910362958908081
positive,0.9277719855308533
positive,0.6422509551048279
positive,0.9614403247833252
positive,0.7215685844421387
negative,0.46144044399261475
positive,0.9745673537254333
positive,0.4378621578216553
positive,0.527562141418457
positive,0.9869669079780579
positive,0.8999819755554199
negative,0.8512802124023438
neutral,0.7312277555465698
positive,0.7301748394966125
positive,0.9574490785598755
positive,0.7068859338760376
positive,0.7974438667297363
positive,0.5057594180107117
negative,0.5464922785758972
neutral,0.4967322051525116
neutral,0.8165549635887146
positive,0.7868025302886963
neutral,0.8831654191017151
neutral,0.5029245615005493
positive,0.6807013154029846
neutral,0.6563453078269958
neutral,0.5492880344390869
positive,0.9783534407615662
positive,0.9273021221160889
positive,0.9886423945426941
neutral,0.9231041073799133
negative,0.9919426441192627
neutral,0.7688454389572144
positive,0.5815577507019043
negative,0.6703677773475647
positive,0.9870207905769348
neutral,0.4767047166824341
positive,0.6605411767959595
positive,0.9621050357818604
positive,0.9713863730430603
positive,0.9927700161933899
positive,0.8500052094459534
positive,0.919538140296936
positive,0.7793241143226624
positive,0.9869694709777832
positive,0.9657943844795227
negative,0.8061302304267883
positive,0.38245919346809387
negative,0.5309615135192871
neutral,0.48875150084495544
positive,0.9440183043479919
